start eating,0.0
say say,0.0
crab bisque,0.0
fries potato,-4.99998750003125e-06
dietary needs,9.9999750000625e-06
hot crispy,2.499993750015625e-06
saying go,-2.499993750015625e-06
eating food,-1.4999962500093749e-05
sized pieces,-2.499993750015625e-06
belly bao,-7.4999812500468745e-06
house decided,4.99998750003125e-06
typical restaurant,1.7499956250109376e-05
bit sweet,2.499993750015625e-06
sushi quality,-2.499993750015625e-06
walking distance,-2.499993750015625e-06
rice fried,7.4999812500468745e-06
customers really,0.0
patio wonderful,-2.499993750015625e-06
well especially,-2.499993750015625e-06
decent little,-4.99998750003125e-06
delicious cooked,0.0
taco shell,-1.7499956250109376e-05
end result,-9.9999750000625e-06
people lunch,-2.499993750015625e-06
sat good,2.499993750015625e-06
meal given,4.99998750003125e-06
ok wife,-2.499993750015625e-06
love mushrooms,2.499993750015625e-06
stuffed grape,2.499993750015625e-06
textures flavors,4.99998750003125e-06
get quality,4.99998750003125e-06
three pieces,-1.2499968750078125e-05
night manager,-1.2499968750078125e-05
italian fare,-7.4999812500468745e-06
service waitress,0.0
sauce etc,-2.499993750015625e-06
everything went,0.0
breakfast burritos,9.9999750000625e-06
living room,0.0
still get,0.0
order paid,4.99998750003125e-06
brisket dry,-7.4999812500468745e-06
bottomless mimosas,1.4999962500093749e-05
chicken maybe,-7.4999812500468745e-06
overall fantastic,2.499993750015625e-06
flavor know,0.0
else know,4.99998750003125e-06
one found,0.0
place earth,7.4999812500468745e-06
dinner recently,-9.9999750000625e-06
4 servers,4.99998750003125e-06
meal good,-7.4999812500468745e-06
best friends,-7.4999812500468745e-06
kitchen slow,0.0
tequila selection,7.4999812500468745e-06
wine nice,0.0
food disappoint,9.9999750000625e-06
amazing far,-4.99998750003125e-06
one bothered,-9.9999750000625e-06
hot chocolates,0.0
week food,1.2499968750078125e-05
day usually,2.499993750015625e-06
butter syrup,-2.499993750015625e-06
seats inside,7.4999812500468745e-06
pretty quickly,2.499993750015625e-06
waitress says,-7.4999812500468745e-06
answer yes,0.0
ask refill,-1.2499968750078125e-05
main courses,-2.499993750015625e-06
plate really,7.4999812500468745e-06
visiting pittsburgh,2.499993750015625e-06
delivery charge,9.9999750000625e-06
ever entire,-4.99998750003125e-06
noodles soup,-7.4999812500468745e-06
small great,0.0
experience nothing,-2.499993750015625e-06
finally someone,-2.499993750015625e-06
dip chicken,0.0
along strip,2.499993750015625e-06
back everyone,4.99998750003125e-06
burrito beans,-7.4999812500468745e-06
6 wings,9.9999750000625e-06
plenty food,2.499993750015625e-06
bread dipping,2.2499943750140624e-05
food available,4.99998750003125e-06
might miss,9.9999750000625e-06
great boyfriend,1.2499968750078125e-05
butter cup,-9.9999750000625e-06
white castle,-4.99998750003125e-06
selections good,-7.4999812500468745e-06
perfectly soft,4.99998750003125e-06
usually love,-2.9999925000187498e-05
though portions,7.4999812500468745e-06
time really,-2.499993750015625e-06
restaurant neighborhood,2.499993750015625e-06
especially vegas,1.7499956250109376e-05
things note,-2.499993750015625e-06
cream sandwich,2.499993750015625e-06
good scallops,0.0
empty drink,0.0
corn muffins,-4.99998750003125e-06
one 10,4.99998750003125e-06
time finishing,7.4999812500468745e-06
know thing,2.499993750015625e-06
ramen shop,9.9999750000625e-06
picky food,7.4999812500468745e-06
per week,-2.499993750015625e-06
us long,-2.499993750015625e-06
table space,9.9999750000625e-06
yelp found,4.99998750003125e-06
minutes could,-4.99998750003125e-06
fettuccine alfredo,0.0
20 times,0.0
home hungry,-4.99998750003125e-06
lots seafood,2.499993750015625e-06
chicken well,-4.99998750003125e-06
made back,-7.4999812500468745e-06
sauce loved,2.499993750015625e-06
etc think,-4.99998750003125e-06
outside juicy,2.499993750015625e-06
drink 1,-4.99998750003125e-06
drink 3,4.99998750003125e-06
drink 2,0.0
drink 5,0.0
drink 4,9.9999750000625e-06
drink 7,0.0
drink 6,9.9999750000625e-06
right oven,0.0
flavor back,4.99998750003125e-06
make sick,-7.4999812500468745e-06
could well,-2.499993750015625e-06
fantastic selection,4.99998750003125e-06
around 3,-4.99998750003125e-06
ok better,-4.99998750003125e-06
around 1,9.9999750000625e-06
natural flavor,-2.499993750015625e-06
around 7,9.9999750000625e-06
kids running,-9.9999750000625e-06
around 5,2.2499943750140624e-05
around 4,-1.2499968750078125e-05
around 9,1.4999962500093749e-05
around 8,-2.499993750015625e-06
offer delivery,4.99998750003125e-06
cannot recall,-4.99998750003125e-06
given chance,0.0
another fantastic,9.9999750000625e-06
another nice,-2.499993750015625e-06
drink ordered,-7.4999812500468745e-06
made dish,7.4999812500468745e-06
one guy,0.0
tried french,2.499993750015625e-06
ignoring us,2.499993750015625e-06
asked move,7.4999812500468745e-06
couple hours,7.4999812500468745e-06
spinach salad,-2.499993750015625e-06
duck wings,2.499993750015625e-06
lazy sunday,7.4999812500468745e-06
walnut salad,-7.4999812500468745e-06
wish something,7.4999812500468745e-06
expected great,4.99998750003125e-06
back ordering,-9.9999750000625e-06
fresh daily,7.4999812500468745e-06
menu full,-2.499993750015625e-06
chicken one,4.99998750003125e-06
back glad,-7.4999812500468745e-06
night open,2.499993750015625e-06
chicken lunch,2.499993750015625e-06
day later,0.0
hour first,0.0
ordered meals,-2.499993750015625e-06
also remember,2.499993750015625e-06
maybe 2,1.2499968750078125e-05
bean sprout,0.0
pound shrimp,2.499993750015625e-06
sure come,1.2499968750078125e-05
well asked,-1.2499968750078125e-05
good best,-2.499993750015625e-06
must haves,1.2499968750078125e-05
